Pattern,Train_count
001000100010000000111111100100000110110000101101,1
111011101111000000100101000100000000110101100111,1
101011101011010000000101100100000000010101100111,1
111011101111011100000101001100010110110101000111,1
111011011100111100000101000100000000011101000011,1
111001011100010100100101000100000000011101000111,1
011011011100010100100101000100000000011101000111,1
111011011100011100100101000100000000011101000111,1
111011011100011100000101000100000100111101000111,1
111011011101011100000101000100000100111111000111,1
111001001110110100000101000100000000011101000111,1
111011011100010100000101000100000000011111000111,1
001011011101010100000101000100000000111111000111,1
011011011100010100000101000100000000011111000111,1
001011011101011100000101000100000000111111000111,1
111011011100011100000101000100000000011101000011,1
111001011100111100000101000100000000011101000011,1
111011011100011100000101000100000000011111000011,1
011001011100010100100101000100000000011111000111,1
111011011100011100000100000100000000011111000011,1
111111001111011100000100000100000000111111000111,1
111011001111011100000101000100000000111111000111,1
111011001101011100000100000100000000111111000101,1
111011001101011100000101000100000000111111000111,1
111111001111011100000101000100000000111111000111,1
111111001101011100000101000100000100111111000111,1
111011001111011100000101000100000100111111000111,1
111011001111011100000101000100000000111101000111,1
111111001111011100000100000100000100111101000111,1
111111001111111100000100000100000100111101000111,1
111111001100111100000100000100000000111101000111,1
011001011100010100100101000100010000011101000111,1
111001011100011100000101000100000000011111000111,1
101011101011010000000101100100000000010100100111,1
111011101111111100000101001100000100110101000111,1
111011111110011100000101001100010110110100000111,1
111011111010111100000101001100010110110100000111,1
111011111011111100000101001100010110110101000111,1
111011111111111100000101001100010110110101000111,1
111011111110111100000101001100010110110101000111,1
111011111010111100000101001100010100110101000111,1
111011111011011100000101001100010100110101000111,1
111011101011011100000101001100010110110100000111,1
111011111011011100000101001100010110110100000111,1
111001111010111100000101001100010110010100000111,1
111001101010111100000101001100010110110100000111,1
111011101111011100000101001100000110110100000111,1
111011101111011100100101001100010100110101000111,1
111001011100011100000101000100010000011111000111,1
111011101111111100000101001100010110110101000111,1
111011101111111100000101001100010110110100000111,1
111001101111111100000101001100010110110100000111,1
111001101110111100000101001100010010110100000111,1
111001101110111100000101000100010010010100000111,1
111001001110110100000101000100010010011101000111,1
111001011100110100000101000100000000011100000111,1
111011011100110100000101000100000000011101000111,1
111001011100110100000101000100000000011101000111,1
111001011100110100000101000100000000011111000111,1
111001011100010100000101000100000000011111000111,1
111001011100110100000101000100010000011111000111,1
111111001100111100000101000100000000111101000111,1
101111001101011100000100000100000000111101000111,1
111111001101011100000101000100000000111111000111,1
001011001101010001000101100100000000010101100111,1
111001001100010101000100100100000000011100100011,1
011001001101010101000100100100000000010000100011,1
111011001101010101100100100100000000010100100111,1
011011001101010001100100100100000000010100100011,1
011011001101010101000100100100000000010000100011,1
111001001100110101100100100100000000011100100011,1
111001001100110101100100100100000000011100100111,1
111001001100110100000101100100000000011100100111,1
101001001101010100000101100100000000010100100111,1
101001001101010101000101100100000000010100100111,1
001001001101010101000101100100000000010000100111,1
001011001101010000100101100100000000010101100111,1
101001001101010000000101100100000000010100100111,1
101111001101011100000101000100000000011111000111,1
101011001101010000100101100100000000010101100111,1
111011101111010000100101100100000000010100100111,1
111011101111100000100101100100000000010100100111,1
111011001111000000100101100100000000010100100111,1
101011001111000000100101100100000000010100100111,1
111001001111010000100101100100000000010000100111,1
111001101111110100100101100100000000010100100111,1
111001101010110100100101100100000000010100100111,1
111001101111110000100101100100000010010100100111,1
111001101111010000100101100100000000010100100111,1
111001101011011000000101100100000010010100100111,1
101001101011011000000101100100000010010100100111,1
011011001101010001000100100100000001010100100011,1
011001001101010101000100100100000001010100100011,1
111001001100010101000100100100000001011100000011,1
011001001101010101000100000100000001011100100011,1
111101001101011100000100000100000000011101000111,1
111001001101011100000101000100000000011101000011,1
111001001100011100000100000100000000011101000011,1
111011001100011100000100000100000000011100000011,1
001011010110100100100101100100000000011000000101,1
111001001100011100000100000100000001011100000011,1
111011001101011100000101000100000000011101000011,1
111011001101110100000101000100000000011101000111,1
111011001101011100000101000100000000010101000111,1
101011001101010100000101000100000000010101000111,1
111001001101110100000101000100000000011101000111,1
111011001111110100000101000100000000010101100111,1
111001001101110100000101100100000000011101000111,1
111011001101110100000101100100000000011100000111,1
111011001101010100000101000100000000010100100111,1
111001001101010100000101100100000000010100100011,1
111001001101011100000100000100000000010100100011,1
111001001110110100000101000100000000011100100011,1
111001001111010100000101000100000000010100100011,1
111001001100110100000101000100000000011100100011,1
111001001101010101000101000100000000010100100011,1
111001001100110100000101000100000000011100000011,1
111001001100010101000101000100000000011100000011,1
111001001100010101000101000100000001011100000011,1
111001001101010101000100000100000000011100100011,1
001001010110100100100101100100000000011000000101,1
001000100111000001111111100100000010010000100101,1
011011001110100100100101100100000000011000000101,1
001011010111000100100101100100000000111111000101,1
011000011110110000100101001100000010010100000111,1
011000011110010000110111001100000011010100000111,1
011000011110010000100111001100000011010100000111,1
011010011111010000110101001100000011110101000111,1
011010011111010000110101000100000011110101000111,1
011010011111010001100111000100000011110111000111,1
011000011110100000100101100100000011010000000111,1
011011001110100000100101100100000010010000000111,1
011011001110100000100101100110000000111001000101,1
