Epoch,Date,Period,Prediction_change,Actual_change,Gate_flips,Residual,Refinement,Steps
400,2020-08-05,08-03 to 09-01,0.06808358575916351,0.25,0,3.372302437298913e-15,2.2690183065776637e-15,2048
400,2020-08-06,08-03 to 09-01,0.07362214031950565,0.5300000000000002,0,3.4139358007223564e-15,5.079270337660091e-15,2048
400,2020-08-07,08-03 to 09-01,-0.2629748217899275,0.0699999999999994,0,-5.717648576819556e-15,5.315192730392937e-15,2048
400,2020-08-10,08-03 to 09-01,0.0743892067892471,-0.3099999999999996,0,-7.771561172376096e-16,1.2420620087993939e-15,2048
400,2020-08-11,08-03 to 09-01,-0.2948663309508124,-0.2999999999999998,1,-2.0334103101871115e-06,1.4202300627597086e-05,2048
400,2020-08-12,08-03 to 09-01,0.056626539735574966,-0.33000000000000007,0,1.7763568394002505e-15,7.771561172376096e-16,2048
400,2020-08-13,08-03 to 09-01,0.10398698421328234,0.019999999999999574,0,7.716050021144838e-15,5.190292640122607e-15,2048
400,2020-08-14,08-03 to 09-01,-0.16015750973197473,0.0600000000000005,0,-1.1823875212257917e-14,1.1601830607332886e-14,2048
400,2020-08-17,08-03 to 09-01,0.22955782038744843,0.33000000000000007,1,-2.500658801224409e-06,6.178665888312285e-06,2048
400,2020-08-18,08-03 to 09-01,-0.03066865224196036,0.25,0,-6.245004513516506e-17,1.8735013540549517e-15,2048
400,2020-08-19,08-03 to 09-01,-0.25690664839723887,0.13999999999999968,1,-1.2191980315323647e-06,6.050715484207103e-15,2048
400,2020-08-20,08-03 to 09-01,-0.32132405568057454,-0.17999999999999972,2,-2.615527364469017e-06,7.2536475045348325e-06,2048
400,2020-08-21,08-03 to 09-01,0.06600222168187386,-0.1200000000000001,0,-4.218847493575595e-15,4.107825191113079e-15,2048
400,2020-08-24,08-03 to 09-01,-0.08578947152206329,0.5,1,2.884758319304792e-06,8.13045538328172e-06,4096
400,2020-08-25,08-03 to 09-01,0.0007751354420486578,-0.10000000000000053,1,-9.493182257522617e-08,8.403029523575134e-06,2048
400,2020-08-26,08-03 to 09-01,0.06715678338125297,-0.0699999999999994,2,-1.5388725760345778e-06,1.5775603787321346e-05,2048
400,2020-08-27,08-03 to 09-01,-0.0782303220808247,-0.04999999999999982,1,-9.124749837663426e-08,3.788636071533347e-15,2048
400,2020-08-28,08-03 to 09-01,0.08427157291910703,0.16999999999999993,1,2.951330804246144e-06,1.1422819445088689e-05,2048
400,2020-08-31,08-03 to 09-01,0.08209435879053562,0.54,0,-1.915134717478395e-15,1.4779844015322396e-15,2048
400,2020-09-01,08-03 to 09-01,-0.13368670767735935,0.14999999999999947,1,5.300300665728175e-06,1.3167894577170713e-05,2048
