Year,Seed,Model,Split,N,MAPE,MPE
2025,123,D_both,Test,268,17.882868449698126,2.3166760734398553
2025,123,T_time_only,Train,3397,14.804191479303757,3.73468325116615
2025,123,T_time_only,Test,268,18.676952428508418,-18.17477020463656
2026,42,A_base,Train,3665,5.523382324490338,0.40570354868316283
2026,42,A_base,Test,152,11.45834334363982,10.456617215994024
2026,42,B_time,Train,3665,5.927069166861145,0.2898122535048174
2026,42,B_time,Test,152,10.47987071836722,-1.4222316016485943
2026,42,C_returns,Train,3665,5.943793057531749,0.5185001762562855
2026,42,C_returns,Test,152,6.022376266447848,-0.37703620690479916
2026,42,D_both,Train,3665,6.578946440871651,0.6176940609377868
2026,42,D_both,Test,152,10.578929894478359,-8.546890434242266
2026,42,T_time_only,Train,3665,16.104796612272654,4.2221503118041985
2026,42,T_time_only,Test,152,23.79930428578673,-23.464877864722663
2026,7,A_base,Train,3665,6.442709381997428,0.636716902060901
2026,7,A_base,Test,152,7.792281453466606,-0.2054218159881959
2026,7,B_time,Train,3665,6.6255702366655935,0.7125557580182853
2026,7,B_time,Test,152,10.695281785723452,-8.307767153311644
2026,7,C_returns,Train,3665,7.133281634770461,0.20820070918191788
2026,7,C_returns,Test,152,8.507043937196192,-3.3968721202182905
2026,7,D_both,Train,3665,6.495006666104458,0.43350417720725376
2026,7,D_both,Test,152,7.328968251427835,-5.780821599375422
2026,7,T_time_only,Train,3665,16.317265659381405,3.936383115382949
2026,7,T_time_only,Test,152,32.66618286108922,-32.66618286108922
2026,123,A_base,Train,3665,6.1180362093259655,0.4882439084493546
2026,123,A_base,Test,152,8.393289335211792,5.79386753552043
2026,123,B_time,Train,3665,6.291321084908499,0.5786466659735918
2026,123,B_time,Test,152,5.765626352741436,1.6357468362171697
2026,123,C_returns,Train,3665,7.084192950014408,0.806565771330455
2026,123,C_returns,Test,152,7.553325635033031,-1.226200392449915
2026,123,D_both,Train,3665,5.787301073757415,0.5774599036331096
2026,123,D_both,Test,152,6.878114925198862,4.014204481495341
2026,123,T_time_only,Train,3665,15.69851306553903,3.898104607900294
2026,123,T_time_only,Test,152,23.82783572236543,-23.498333273997456
