Month,Seed,Epochs,Model,APE
2020-07,42,800,Stacking,7.4508963335232155
2020-07,123,100,Base,13.005656071344498
2020-07,123,100,Stacking,12.900405568429866
2020-07,123,200,Base,11.120024460107699
2020-07,123,200,Stacking,12.853579792659046
2020-07,123,400,Base,21.075680118404982
2020-07,123,400,Stacking,20.629123143810155
2020-07,123,800,Base,33.460263525705955
2020-07,123,800,Stacking,33.27775005617591
2020-08,7,100,Base,5.458963697404483
2020-08,7,100,Stacking,5.135111981721754
2020-08,7,200,Base,5.333029739912416
2020-08,7,200,Stacking,5.699724908279525
2020-08,7,400,Base,24.149821419233938
2020-08,7,400,Stacking,24.65496685664869
2020-08,7,800,Base,41.1118395215666
2020-08,7,800,Stacking,41.457729721294385
2020-08,42,100,Base,5.403587107753493
2020-08,42,100,Stacking,5.171809892757902
2020-08,42,200,Base,8.954485644052253
2020-08,42,200,Stacking,9.013469933116564
2020-08,42,400,Base,5.15122948580635
2020-08,42,400,Stacking,4.5229715527241225
2020-08,42,800,Base,5.213008851911719
2020-08,42,800,Stacking,5.365836921729291
2020-08,123,100,Base,21.11324043591635
2020-08,123,100,Stacking,21.441581407579424
2020-08,123,200,Base,18.438644890837903
2020-08,123,200,Stacking,19.804589967950758
2020-08,123,400,Base,30.4300259085402
2020-08,123,400,Stacking,30.33158600615958
2020-08,123,800,Base,39.75554702857218
2020-08,123,800,Stacking,39.553480972294665
2020-09,7,100,Base,11.530290261964838
2020-09,7,100,Stacking,11.061072716316666
2020-09,7,200,Base,10.12250291072297
2020-09,7,200,Stacking,9.911911643593973
2020-09,7,400,Base,27.146806890373963
2020-09,7,400,Stacking,26.45303472553101
2020-09,7,800,Base,43.600202890778235
2020-09,7,800,Stacking,43.61725296207538
2020-09,42,100,Base,14.011030123372548
2020-09,42,100,Stacking,13.571016642312188
2020-09,42,200,Base,18.95012040341928
2020-09,42,200,Stacking,18.318901436270263
2020-09,42,400,Base,11.58162582556342
2020-09,42,400,Stacking,10.811101787518075
2020-09,42,800,Base,10.345301633298044
2020-09,42,800,Stacking,10.066801520373536
2020-09,123,100,Base,26.815600685134243
2020-09,123,100,Stacking,25.859622325470042
2020-09,123,200,Base,23.73950332593749
2020-09,123,200,Stacking,23.343700572751697
2020-09,123,400,Base,35.78667703546811
2020-09,123,400,Stacking,35.5289803298323
2020-09,123,800,Base,44.390078595035995
2020-09,123,800,Stacking,44.44164172480317
2020-10,7,100,Base,8.945024910444562
2020-10,7,100,Stacking,8.521737901460668
2020-10,7,200,Base,7.479559455077205
2020-10,7,200,Stacking,7.713386829940557
2020-10,7,400,Base,23.486278540850105
2020-10,7,400,Stacking,23.66884047576459
2020-10,7,800,Base,42.15764327651135
2020-10,7,800,Stacking,42.31770604299591
2020-10,42,100,Base,12.102763829091424
2020-10,42,100,Stacking,11.913900588474513
2020-10,42,200,Base,18.25103525093582
2020-10,42,200,Stacking,18.083606068091218
2020-10,42,400,Base,11.944589522972922
2020-10,42,400,Stacking,11.736804554709861
2020-10,42,800,Base,10.765682361516163
2020-10,42,800,Stacking,10.929649775572633
2020-10,123,100,Base,23.346393848224732
2020-10,123,100,Stacking,22.93643392144246
2020-10,123,200,Base,19.618325455180404
2020-10,123,200,Stacking,20.24076219398837
2020-10,123,400,Base,31.94207909693271
2020-10,123,400,Stacking,32.350125664641574
2020-10,123,800,Base,40.13868734439241
2020-10,123,800,Stacking,40.23931327820199
2020-11,7,100,Base,21.79899571811709
2020-11,7,100,Stacking,21.366992213110116
2020-11,7,200,Base,19.743465636008082
2020-11,7,200,Stacking,19.531518405617515
2020-11,7,400,Base,29.656929491962604
2020-11,7,400,Stacking,29.18511947660689
2020-11,7,800,Base,45.84200540449721
2020-11,7,800,Stacking,45.363735521681974
2020-11,42,100,Base,24.1811073445521
2020-11,42,100,Stacking,23.882504809888758
2020-11,42,200,Base,27.613011160856423
2020-11,42,200,Stacking,27.16663458858812
2020-11,42,400,Base,24.629512276735102
2020-11,42,400,Stacking,24.038765362513228
2020-11,42,800,Base,27.179955776755758
2020-11,42,800,Stacking,27.184768828630965
2020-11,123,100,Base,33.43948394059224
2020-11,123,100,Stacking,32.99876720020105
2020-11,123,200,Base,29.584974051066173
2020-11,123,200,Stacking,29.37911030268397
2020-11,123,400,Base,35.543630053158026
2020-11,123,400,Stacking,35.851765352729025
2020-11,123,800,Base,43.13282689213357
2020-11,123,800,Stacking,43.73687380281202
2020-12,7,100,Base,21.050620066469193
2020-12,7,100,Stacking,20.713367256937094
2020-12,7,200,Base,18.21994674048261
2020-12,7,200,Stacking,18.965485589386354
2020-12,7,400,Base,25.88725966909078
2020-12,7,400,Stacking,27.2826436191792
2020-12,7,800,Base,38.00133587544661
2020-12,7,800,Stacking,37.94499121242386
2020-12,42,100,Base,21.460446020986083
2020-12,42,100,Stacking,21.55929728765835
2020-12,42,200,Base,19.923748705536717
2020-12,42,200,Stacking,19.603630975193358
2020-12,42,400,Base,18.61401182806146
2020-12,42,400,Stacking,17.906858142599603
2020-12,42,800,Base,33.06584805914649
2020-12,42,800,Stacking,33.10816841710388
2020-12,123,100,Base,35.575655150775454
2020-12,123,100,Stacking,35.44299081684121
2020-12,123,200,Base,31.700816103589812
2020-12,123,200,Stacking,32.33716179648984
2020-12,123,400,Base,31.262592618126202
2020-12,123,400,Stacking,31.644562223685487
2020-12,123,800,Base,37.15063434009793
2020-12,123,800,Stacking,36.42629592367376
