,volume_growth_5,volume_growth_10,Volume_source_date,Actual_trading_day
2019-09-30,-0.3899087883712591,-0.3992781870830039,2019-09-30,True
2019-10-01,-0.3899087883712591,-0.3992781870830039,2019-09-30,False
2019-10-02,-0.3899087883712591,-0.3992781870830039,2019-09-30,False
2019-10-03,-0.3899087883712591,-0.3992781870830039,2019-09-30,False
2019-10-04,-0.3899087883712591,-0.3992781870830039,2019-09-30,False
2019-10-07,-0.3899087883712591,-0.3992781870830039,2019-09-30,False
2019-10-08,-0.3825935659483286,-0.3677793423042923,2019-10-08,True
2019-10-09,-0.12450373267652493,-0.10621254990050788,2019-10-09,True
2019-10-10,-0.28823799935452576,-0.2836531957129631,2019-10-10,True
2019-10-11,-0.25535026570972075,-0.39532116256668137,2019-10-11,True
2019-10-12,-0.25535026570972075,-0.39532116256668137,2019-10-11,False
2019-10-14,0.8233239587396048,0.4095325278145485,2019-10-14,True
2019-10-15,-0.2345053089680782,-0.33986682950384506,2019-10-15,True
2019-10-16,-0.37240021833481474,-0.4383452443185767,2019-10-16,True
2019-10-17,-0.008204239121689216,-0.15184601099645723,2019-10-17,True
2019-10-18,0.1789054577251985,0.15806123439579345,2019-10-18,True
2019-10-21,0.004723618619853598,0.07445859888032658,2019-10-21,True
2019-10-22,-0.19933424834063695,-0.2563087214028674,2019-10-22,True
2019-10-23,0.16227628600122945,0.07568976695178109,2019-10-23,True
2019-10-24,-0.23311922218435588,-0.22200909841659766,2019-10-24,True
2019-10-25,-0.16676159056934425,-0.17463299885309924,2019-10-25,True
2019-10-28,2.127885499105358,1.8568848562501583,2019-10-28,True
2019-10-29,-0.11925259161705193,0.0018735867944841278,2019-10-29,True
2019-10-30,0.4821253405985477,0.7364786800714092,2019-10-30,True
2019-10-31,0.13945684154349558,0.35752309241505764,2019-10-31,True
2019-11-01,0.3176291680901093,0.6676551976981033,2019-11-01,True
2019-11-04,0.6137542399098819,1.2096463935535278,2019-11-04,True
2019-11-05,-0.18181744686533496,0.011763470757877759,2019-11-05,True
2019-11-06,1.2316668358862124,1.7598321069469205,2019-11-06,True
2019-11-07,-0.26483875272432245,-0.0532981072163925,2019-11-07,True
2019-11-08,-0.24820060574812763,-0.06538669074081316,2019-11-08,True
2019-11-11,-0.0779912498330727,0.07360899035350243,2019-11-11,True
2019-11-12,-0.318107000954169,-0.23347530631273394,2019-11-12,True
2019-11-13,0.30762924730975505,0.44113583695996095,2019-11-13,True
2019-11-14,0.06150072843509258,-0.010875444039617488,2019-11-14,True
2019-11-15,0.06150072843509258,-0.010875444039617488,2019-11-14,False
2019-11-18,0.06150072843509258,-0.010875444039617488,2019-11-14,False
2019-11-19,0.06150072843509258,-0.010875444039617488,2019-11-14,False
2019-11-20,0.06150072843509258,-0.010875444039617488,2019-11-14,False
2019-11-21,0.32723132900291074,0.25131338264662206,2019-11-21,True
2019-11-22,0.18065714605065697,0.17359273864107383,2019-11-22,True
2019-11-25,0.6541963236890473,0.7242151057488329,2019-11-25,True
