Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
H240,2020-07,965409,Base,38,0.04944248577506222,0.17264055570591272,0.32664431058174437
H240,2020-07,965409,Base,39,0.04765074433668128,0.16136315436338552,0.30530691988799286
H240,2020-07,965409,Base,40,0.04633875983983582,0.1502657327200128,0.28431005952043636
H240,2020-07,965409,Base,41,0.04503483673419989,0.1393380995310512,0.2636344471493838
H240,2020-07,965409,Base,42,0.04325997429559538,0.1289907463364851,0.2440567526918752
H240,2020-07,965409,Base,43,0.04145721681037492,0.12014170814740802,0.22731394294613702
H240,2020-07,965409,Base,44,0.0400365757451922,0.1134863661758648,0.2147217129159945
H240,2020-07,965409,Base,45,0.03872905943445087,0.10899228702773067,0.20621869704559445
H240,2020-07,965409,Base,46,0.037412272399663854,0.10592095126492572,0.20040758071372017
H240,2020-07,965409,Base,47,0.036382874949843644,0.10322309520081531,0.19530310609877927
H240,2020-07,965409,Base,48,0.03543140626688529,0.0998621033597154,0.18894394640818435
H240,2020-07,965409,Base,49,0.03424086402866414,0.09531822380910034,0.18034670575920564
H240,2020-07,965409,Base,50,0.03306085544401715,0.08978420469826971,0.16987607300543517
H240,2020-07,965409,Base,51,0.032026871326012646,0.08386205665668678,0.15867108147667103
H240,2020-07,965409,Base,52,0.030915241703327975,0.07818260066152184,0.14792527507889616
H240,2020-07,965409,Base,53,0.02990890347385079,0.07309381369610159,0.1382970431537823
H240,2020-07,965409,Base,54,0.02912550962683626,0.0685625662637956,0.12972370308574985
H240,2020-07,965409,Base,55,0.028264777168143726,0.06430601048832849,0.1216700929647383
H240,2020-07,965409,Base,56,0.027480055919869135,0.060433468619063214,0.11434305579254636
H240,2020-07,965409,Base,57,0.026920570855930175,0.05736778686558836,0.1085426371207445
H240,2020-07,965409,Base,58,0.026409553121377244,0.055224216057428076,0.10448689711254265
H240,2020-07,965409,Base,59,0.02610825960549479,0.05365520010434138,0.10151824277641548
H240,2020-07,965409,Base,60,0.025878802547163626,0.05194319486806851,0.09827904577645162
H240,2020-07,965409,Base,61,0.025520891943128066,0.049766518740613615,0.09416066889736298
H240,2020-07,965409,Base,62,0.025194451197196873,0.047397015988664894,0.08967745468580603
H240,2020-07,965409,Base,63,0.02485965115294406,0.045201884730492296,0.08552415980367152
H240,2020-07,965409,Base,64,0.024572834947171666,0.04324233168115285,0.08181659032654248
H240,2020-07,965409,Base,65,0.024360077456984985,0.04138609578909091,0.07830450192552665
H240,2020-07,965409,Base,66,0.024073034055756948,0.03963156016466565,0.07498483536694717
H240,2020-07,965409,Base,67,0.023788145260788363,0.038241715899363926,0.07235518256028671
H240,2020-07,965409,Base,68,0.02348847266190866,0.03740472501424132,0.07077155518190986
H240,2020-07,965409,Base,69,0.023228952725842453,0.03701566512192112,0.07003543498244512
H240,2020-07,965409,Base,70,0.02303914399992164,0.036647006209474024,0.06933791442707092
H240,2020-07,965409,Base,71,0.022810885889780565,0.036018479709427724,0.0681487117831701
H240,2020-07,965409,Base,72,0.022609659543496016,0.03532019380504436,0.06682752096045981
H240,2020-07,965409,Base,73,0.02239207160814054,0.03477632834826344,0.06579850111947848
H240,2020-07,965409,Base,74,0.0221867650624652,0.034408606412231195,0.06510275336895775
H240,2020-07,965409,Base,75,0.022002238865625967,0.03405551445690931,0.06443468625201365
H240,2020-07,965409,Base,76,0.02181198046058602,0.03360110851993221,0.06357492816445871
H240,2020-07,965409,Base,77,0.0216292657554847,0.03314406088941178,0.06271017186450403
H240,2020-07,965409,Base,78,0.0214439184718861,0.03278789981880795,0.062036297832485605
H240,2020-07,965409,Base,79,0.02129340451796419,0.03248780986164053,0.061468513068525306
H240,2020-07,965409,Base,80,0.02114322400027128,0.03214605924307152,0.060821904311174464
H240,2020-07,965409,Base,81,0.02099135437593919,0.031774045900197376,0.06011803701062352
H240,2020-07,965409,Base,82,0.020834974518553567,0.03142780196215215,0.05946292667473842
H240,2020-07,965409,Base,83,0.02068691157029937,0.031106807135388024,0.05885558888287401
H240,2020-07,965409,Base,84,0.020570811523996306,0.030741445264948087,0.05816430649100076
H240,2020-07,965409,Base,85,0.02046701756427825,0.0303454017141225,0.05741497287068886
H240,2020-07,965409,Base,86,0.020367877550484335,0.030020211206808173,0.05679969664758425
H240,2020-07,965409,Base,87,0.02025932995134819,0.02979269113606435,0.056369217630949105
H240,2020-07,965409,Base,88,0.020152856804334287,0.02955232121034991,0.055914426065036126
H240,2020-07,965409,Base,89,0.020041267416142754,0.029220983073086692,0.055287518227690256
H240,2020-07,965409,Base,90,0.01993089783247156,0.02890082453754071,0.054681762739400334
H240,2020-07,965409,Base,91,0.019817209102102534,0.028711822826530925,0.05432416232888772
H240,2020-07,965409,Base,92,0.0197067563593967,0.028615737955305538,0.05414236508900732
H240,2020-07,965409,Base,93,0.019601808142232963,0.028488439775591293,0.0539015107545142
H240,2020-07,965409,Base,94,0.019501094805252826,0.028303715794237985,0.053552004016133144
H240,2020-07,965409,Base,95,0.01940304423961193,0.028143017896354157,0.053247955793792996
H240,2020-07,965409,Base,96,0.019305763323125388,0.02804450418401505,0.053061563068640565
