alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
4.9055837063650453e-05,0.2013626842975358,2.2079293655479413,7.468076061066876
4.973895958790068e-05,0.201362688073527,2.207924623169036,7.468040299781333
5.043159487171359e-05,0.20136269195487824,2.2079198150898174,7.468004041494512
5.113387538414331e-05,0.20136269594453687,2.207914940404902,7.467967279313204
5.184593543892913e-05,0.20136270021334549,2.2079099506801674,7.467929954639104
5.2567911220184194e-05,0.20136270457699515,2.207903896438592,7.4678893057843165
5.329994080844093e-05,0.20136270896417202,2.207897497181823,7.467839293225673
5.404216420705915e-05,0.20136271333676695,2.2078921690105355,7.4677997596109735
5.4794723369002926e-05,0.20136271810587858,2.2078868973925068,7.467760317408195
5.555776222398878e-05,0.20136272281676387,2.2078816040858062,7.46772038288361
5.633142670601352e-05,0.20136272765907476,2.207876237490864,7.467679893488518
5.711586478126435e-05,0.20136273263648746,2.2078707965989914,7.467638841530733
5.7911226476417584e-05,0.20136273809203953,2.207864901290836,7.467594769321119
5.8717663907332614e-05,0.2013627434060435,2.207858479700996,7.467551791426497
5.95353313081437e-05,0.20136274881609467,2.207852810291126,7.46750900514242
6.0364385060758635e-05,0.20136275437705517,2.207847062418355,7.467465624458842
6.120498372476703e-05,0.20136276009314558,2.207841235003694,7.467421641138236
6.2057288067765e-05,0.2013627661007952,2.207835061864322,7.467376181996132
6.292146109610351e-05,0.20136277220614796,2.2078275955451887,7.467317879977019
6.379766808606283e-05,0.2013627784155899,2.2078215232227456,7.467272039097462
6.468607661546321e-05,0.20136278502015678,2.207814088802193,7.467222046456679
6.558685659571436e-05,0.20136279185011535,2.207807788300523,7.467174859182141
6.650018030431119e-05,0.20136279859910672,2.2078014612016466,7.467127082272664
6.742622241778349e-05,0.20136280553632702,2.2077950466015452,7.467078641817864
6.836516004510239e-05,0.20136281266704054,2.207788543298741,7.4670295286271555
6.9317172761554e-05,0.20136282029499072,2.207781887382766,7.466979665316217
7.028244264308353e-05,0.2013628278321304,2.2077752033647458,7.4669291789660335
7.126115430111745e-05,0.2013628355794746,2.207768426946145,7.466877991547113
7.225349491787222e-05,0.20136284368310026,2.207759899698242,7.4668212582634155
7.32596542821523e-05,0.20136285228733614,2.2077512210885737,7.466753969149247
7.42798248256491e-05,0.20136286070955633,2.207744159554595,7.466700620146733
7.531420165974376e-05,0.20136286936667855,2.207737000442427,7.466646530443055
7.636298261282242e-05,0.20136287826527233,2.2077297424144886,7.466591689785472
7.742636826811278e-05,0.2013628874120914,2.2077223841151765,7.46653608778026
7.850456200204509e-05,0.20136289719107503,2.2077148546464516,7.466479638421889
7.959777002314978e-05,0.20136290710155494,2.207706846215221,7.466419208124293
8.070620141149508e-05,0.2013629171371985,2.2076980621069384,7.466360211442407
8.183006815867389e-05,0.2013629273554897,2.207690289918576,7.466301458386627
8.296958520834916e-05,0.2013629381095548,2.2076820553338496,7.466240722699969
8.412497049736118e-05,0.2013629490080521,2.207672236804915,7.466164097063204
8.529644499741017e-05,0.20136296010413562,2.207664140003063,7.466102866343418
8.648423275731727e-05,0.20136297150964041,2.207655931447033,7.466040785868019
8.768856094587427e-05,0.20136298370267164,2.207647532736034,7.465977760456821
8.890965989529168e-05,0.2013629960581606,2.20763860159016,7.465910309756734
9.014776314524917e-05,0.20136300856956746,2.2076288167650087,7.465844454252829
9.140310748756223e-05,0.201363021310683,2.2076201470233596,7.465778856982604
9.267593301146883e-05,0.20136303492974278,2.2076112772245717,7.465712262255991
9.39664831495469e-05,0.20136304839604763,2.2076023673356837,7.465644832857637
9.5275004724273e-05,0.20136306203084162,2.207593007273538,7.4655752082365465
9.660174799522646e-05,0.20136307638683443,2.207581818952727,7.4654879006168855
9.794696670695385e-05,0.20136309159053606,2.207572451465605,7.465417535909959
9.9310918137498e-05,0.20136310699858395,2.20756249105067,7.465342250578189
0.00010069386314760271,0.20136312260104666,2.2075515919723436,7.4652687412931344
0.00010209606623060465,0.20136313849188553,2.207541921055486,7.4651955046607466
0.00010351779556301762,0.20136315547166572,2.2075320293040477,7.465121157314217
0.00010495932305582277,0.20136317226638933,2.207522090919869,7.465045876190844
0.00010642092440647246,0.2013631895292302,2.2075120156487107,7.4649695511471865
0.00010790287915161836,0.20136320727327642,2.2075018016267487,7.464892167769635
0.00010940547072057424,0.20136322642973278,2.207490367979667,7.464807675380172
0.00011092898648952228,0.20136324552577287,2.207476128239665,7.464706838289518
0.00011247371783647519,0.201363264805999,2.2074654887071374,7.464626195088501
0.00011403996019700331,0.20136328462359168,2.207454702747401,7.4645444339498965
0.00011562801312073754,0.20136330578801473,2.207443674052522,7.4644614371498195
0.00011723818032865986,0.2013633267320242,2.2074325903033025,7.464377394802966
0.00011887076977119033,0.20136334825971353,2.2074213540906658,7.464292187620531
0.00012052609368708426,0.2013633703874005,2.20740996334437,7.464205799535625
0.00012220446866314887,0.2013633945777528,2.2073976403701763,7.464113126996827
0.00012390621569479155,0.20136341787497933,2.2073838520554405,7.4640211137802766
0.00012563166024741215,0.20136344191522956,2.207371987551551,7.463931086942942
0.00012738113231864785,0.20136346683420897,2.2073574848618485,7.463817890413767
0.0001291549665014884,0.2013634932069909,2.207345192027139,7.4637252450250084
0.00013095350204826676,0.2013635193228625,2.20733283322918,7.463631427786626
0.0001327770829355429,0.2013635461664335,2.207320304677693,7.463536310950593
0.0001346260579298911,0.20136357482299783,2.2073074999589064,7.463439763733777
0.00013650078065460138,0.2013636038935498,2.2072938730753475,7.463336461042647
0.00013840160965731315,0.20136363332567714,2.207279007847256,7.463235637795125
0.0001403289084785873,0.20136366330661995,2.2072657802063906,7.463135144391616
0.0001422830457214352,0.20136369491402606,2.207251767808466,7.463031230948635
0.0001442643951218159,0.20136372684978446,2.2072354551637905,7.462903839193038
0.000146273335620113,0.201363759411075,2.20722167753308,7.4627991175867265
0.00014831025143361044,0.2013637928795203,2.207207710971454,7.462692946227612
0.00015037553212997383,0.2013638285709387,2.207193445085079,7.462585188286562
