,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_5,gold_20,copper_5,copper_20
2019-01-23,1251.2906372902714,96.12000274658203,3.119,2.76,61.05,2.6545,805.1076205671287,-0.0061193062850988245,0.0016393252036983608,-0.009514925373134364,0.008931965032307199
2019-01-24,1258.872224004692,96.5999984741211,3.1338,2.72,61.09,2.6445,802.5977378272448,-0.0017170632625822524,-0.0014832352959114337,-0.02739977933063631,0.0051311288483466555
2019-01-25,1266.802965126661,95.79000091552734,3.1398,2.76,61.49,2.729,814.0804820004305,0.011617952759502836,0.012802517106996536,0.007382798080472597,0.0372481946028127
2019-01-28,1266.0542067661913,95.75,3.1397,2.75,59.71,2.68,817.2178354252852,0.015516588237085571,0.016705717731508418,-0.0007457121551079915,0.010558069381598756
2019-01-29,1266.9891566142621,95.81999969482422,3.1246,2.72,60.98,2.725,820.8571194407913,0.020038948282163682,0.02123337328015218,0.024628689603308995,0.03888677087304604
2019-01-30,1255.3491035950562,95.33999633789062,3.1151,2.7,61.89,2.772,821.9238655625675,0.020886952956169047,0.01401143745299982,0.04426445658316047,0.07943925233644844
2019-01-31,1264.6975132366542,95.58000183105469,3.1037,2.63,62.46,2.789,828.0730323179573,0.03174104945732603,0.028845405323510764,0.05464170920778977,0.05344664778092545
2019-02-01,1286.3262132934187,95.58000183105469,3.1032,2.7,61.86,2.7775,826.3161603573642,0.01503005983740957,0.023391338548167884,0.017772077684133247,0.05328024270003784
2019-02-02,1313.3464816704823,95.8499984741211,3.0978,2.73,62.26,2.7975,820.1041852570432,0.003531922220292749,0.018547420303741236,0.04384328358208944,0.053275602409638356
2019-02-03,1313.3464816704823,95.8499984741211,3.0967,2.73,62.26,2.7975,820.1041852570432,-0.000917253643680338,0.013728341349217299,0.026605504587155826,0.05287918705306738
2019-02-04,1313.3464816704823,95.8499984741211,3.067,2.73,62.26,2.7975,820.1041852570432,-0.0022139280555855123,0.017358176753866417,0.009199134199134207,0.0606635071090047
2019-02-05,1313.3464816704823,96.0999984741211,3.067,2.71,61.67,2.8205,820.1041852570432,-0.009623362614052944,0.015461133394088833,0.01129437074220152,0.059541697971450036
2019-02-06,1313.3464816704823,96.41999816894531,3.067,2.7,62.22,2.84,820.1041852570432,-0.0075176734987664195,0.013885675861506686,0.022502250225022502,0.07779886148007598
2019-02-07,1313.3464816704823,96.51000213623047,3.067,2.65,61.01,2.832,820.1041852570432,0.0,0.016171707057813123,0.012332439678284235,0.07496678686657798
2019-02-08,1313.3464816704823,96.63999938964844,3.067,2.63,61.37,2.814,820.1041852570432,0.0,0.011923215163484713,0.005898123324396876,0.05255283336450334
2019-02-11,1313.3464816704823,97.05999755859375,3.067,2.65,61.3,2.793,820.1041852570432,0.0,0.012393493415956636,-0.0016085790884717843,0.04216417910447756
2019-02-12,1323.3460170991293,96.70999908447266,3.0748,2.68,62.58,2.775,821.4845901257622,0.0016832067114573857,0.021774682963032088,-0.01613189150859784,0.020595807282089096
2019-02-13,1348.6404754887797,97.12999725341797,3.0719,2.71,63.27,2.776,822.4886044981498,0.002907458935061058,0.022066314875730964,-0.022535211267605604,0.0247323735695828
2019-02-14,1351.2449786369766,96.9800033569336,3.0726,2.66,64.0,2.7785,821.8611338131789,0.0021423479939746137,0.021286587780214417,-0.018891242937852937,0.03598061148396736
2019-02-15,1329.6558397344975,96.91999816894531,3.0794,2.66,65.65,2.8025,827.0690945411123,0.008492712766593247,0.027758265564083784,-0.004086709310589853,0.05376950554615534
2019-02-17,1370.5428371082176,96.5199966430664,3.1094,2.65,66.41,2.816,840.8734496104734,0.025325153470495243,0.044423662290205,0.008234872896526912,0.060840082878131474
2019-02-18,1370.5428371082176,96.5199966430664,3.1094,2.65,66.41,2.838,840.8734496104734,0.023602219345030928,0.047689782788133295,0.022702702702702693,0.07317073170731714
2019-02-19,1370.5428371082176,96.5199966430664,3.1279,2.65,65.86,2.8775,840.8734496104734,0.022352704963664927,0.03291193954706406,0.036563400576368865,0.054415536826676325
2019-02-20,1374.172300804144,96.44999694824219,3.1196,2.65,66.82,2.92,842.881401759706,0.02557642292804352,0.0314035808103299,0.05092675904264876,0.08955223880596996
2019-02-21,1370.0749992378128,96.61000061035156,3.1361,2.69,66.91,2.8975,830.4574515590639,0.00409682460669325,0.011695497171070102,0.03389830508474567,0.06330275229357785
2019-02-22,1397.2571416957144,96.51000213623047,3.1451,2.65,66.91,2.949,834.0340038251815,-0.008133739730348477,0.01473389296747718,0.047230113636363535,0.06385281385281383
2019-02-25,1476.2230203816162,96.41000366210938,3.1787,2.67,64.02,2.947,831.9633965221028,-0.01059618791923811,0.004698093105695689,0.03840732910500355,0.05665112943707418
2019-02-26,1462.772227924513,96.0,3.1878,2.64,64.51,2.948,831.461389335909,-0.011193194741639712,0.006226707434016099,0.02450043440486538,0.06138613861386144
2019-02-27,1457.6350850092988,96.1500015258789,3.1689,2.69,65.55,2.9625,826.8180909480154,-0.01905761685826124,0.008186649710692384,0.014554794520547976,0.05898123324396787
2019-02-28,1459.1972061840252,96.16000366210938,3.1731,2.73,65.03,2.948,823.7435458680917,-0.008084587209576832,0.004437680817233947,0.017428817946505637,0.05379803395889193
2019-03-01,1487.7182577993544,96.52999877929688,3.187,2.76,63.71,2.932,813.4530113154595,-0.024676442945167798,-0.008110157296050136,-0.005764665988470585,0.04807864164432529
2019-03-04,1507.658894291144,96.68000030517578,3.2023,2.72,64.44,2.909,806.1743666889048,-0.030997793822426734,-0.016985425533186937,-0.012894468951476168,0.03137741535188798
2019-03-05,1524.1137938493657,96.8499984741211,3.2149,2.72,64.24,2.9335,804.4174181327693,-0.03252582928082781,-0.01912777352716144,-0.00491858887381269,0.032922535211267645
2019-03-06,1536.7091217133393,96.87000274658203,3.2021,2.69,64.51,2.9185,806.2370984382935,-0.024891802362626225,-0.016908933118544467,-0.014852320675105446,0.030543785310734428
2019-03-07,1522.428633855347,97.66999816894531,3.1572,2.64,64.82,2.9105,805.546896003934,-0.022090188087581786,-0.01775053647427327,-0.012720488466757107,0.03429282160625435
2019-03-08,1469.8859767685287,97.37000274658203,3.1423,2.62,65.66,2.8935,813.8294784073336,0.0004628012763334688,-0.007651109410864665,-0.013130968622100947,0.035982814178302736
2019-03-11,1506.0009552748447,97.22000122070312,3.1374,2.64,65.06,2.901,808.6842494287887,0.0031133249128130203,-0.015581960819269769,-0.0027500859401856648,0.045405405405405386
2019-03-12,1521.186631378601,96.94000244140625,3.1424,2.61,65.33,2.9285,813.390279566071,0.011154484265307962,-0.011061946490590335,-0.0017044486108743762,0.05493515850144104
2019-03-13,1500.3593169058968,96.55000305175781,3.1375,2.61,65.89,2.9355,820.4179205995287,0.017588898090529215,-0.0017560304950231531,0.005824910056535959,0.05650530861975889
2019-03-14,1486.7179776047572,96.79000091552734,3.1475,2.63,66.18,2.8915,811.5705992605466,0.007477780978977666,-0.018739057453434294,-0.0065280879573955675,0.031757359500446114
2019-03-15,1504.148114058074,96.5999984741211,3.1376,2.59,66.11,2.906,816.8413683334113,0.003700885757999428,-0.0285799025860487,0.004320027648176961,0.03196022727272729
2019-03-18,1545.9188858417526,96.5199966430664,3.1377,2.6,66.65,2.909,815.9001623059547,0.008923028836363534,-0.029699222060212804,0.0027576697690452345,0.025017618040873657
2019-03-19,1542.3072065179363,96.37999725341797,3.1377,2.61,67.13,2.923,818.8492438871012,0.006711371475870864,-0.02619205747734643,-0.0018780945876728516,0.015812337098175533
2019-03-20,1539.3165284324925,95.76000213623047,3.1453,2.54,68.35,2.921,816.0256258047319,-0.005353728489483789,-0.03186186799104429,-0.004939533299267773,0.000342465753424559
2019-03-21,1542.847996608629,96.5,3.1291,2.54,68.3,2.906,819.5394463214608,0.009819043553542794,-0.013146977267897486,0.005014698253501537,0.0029335634167386715
2019-03-22,1544.4333463510095,96.6500015258789,3.108,2.44,66.29,2.8425,822.990535088801,0.007527981556487262,-0.013241029365386847,-0.0218513420509292,-0.036113936927772095
2019-03-25,1512.9488376279567,96.56999969482422,3.0831,2.43,67.37,2.8565,829.453513782219,0.016611531780994948,-0.0030168187090633403,-0.018047438982468078,-0.030709195792331223
2019-03-26,1491.0192550307997,96.73999786376953,3.0633,2.41,67.51,2.854,824.6847518955483,0.007126474197796995,-0.008150273154323151,-0.023605884365378027,-0.03188602442333777
2019-03-27,1506.9674814570699,96.7699966430664,3.0882,2.39,67.35,2.863,821.9238655625675,0.007228008007737374,-0.005919349659894713,-0.01985621362547063,-0.03358649789029533
2019-03-28,1499.3982349192154,97.19999694824219,3.0634,2.39,66.08,2.877,809.3117201137597,-0.012479846154579421,-0.01751980434532352,-0.009979353062629204,-0.024084124830393572
2019-03-29,1553.1796279654532,97.27999877929688,3.0683,2.41,67.93,2.9395,811.3195956674497,-0.014181134440497623,-0.0026226661138789575,0.034124890061565605,0.0025579809004092624
