Year,Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2019,100,100,Stacking,Test,271,7.970702429374906,0.09715060832545731,0.16238309626894912
2019,100,100,DirectReturns,Train,1763,2.520248751130656,0.01468736431793859,0.024549302727855295
2019,100,100,DirectReturns,Test,271,6.22721095675176,0.06023165333774768,0.10067463838843042
2019,999,100,Base,Train,1763,2.641999408192051,0.01778181960149012,0.029721552689744978
2019,999,100,Base,Test,271,13.016637643987178,0.26533612460375905,0.4434980100260661
2019,999,100,Stacking,Train,1763,2.599975358316262,0.016557517860682082,0.0276751845725854
2019,999,100,Stacking,Test,271,13.06283706228647,0.2677135229473778,0.4474717299106417
2019,999,100,DirectReturns,Train,1763,2.663777755246888,0.01784070174097866,0.029819971673320032
2019,999,100,DirectReturns,Test,271,10.257895858662064,0.15085689184682355,0.2521508574555998
2020,42,100,Base,Train,2034,2.785545104315281,0.018172576197089906,0.03432826273777639
2020,42,100,Base,Test,271,13.211029900403837,1.0179149699433894,1.9228562947793892
2020,42,100,Stacking,Train,2034,2.821393150739512,0.01696107515654378,0.032039719518812376
2020,42,100,Stacking,Test,271,13.331717832824532,1.0048845856401853,1.8982417078829967
2020,42,100,DirectReturns,Train,2034,3.0182498931166486,0.020646652032057282,0.039001828245210826
2020,42,100,DirectReturns,Test,271,13.998160349258946,1.989307819072172,3.7578316216034406
2020,7,100,Base,Train,2034,2.9150915367148875,0.020304090234923192,0.03835472399051374
2020,7,100,Base,Test,271,10.630306580250302,0.7953567820925372,1.5024406165548074
2020,7,100,Stacking,Train,2034,2.739069429775623,0.017538581609427728,0.03313063767110693
2020,7,100,Stacking,Test,271,10.586170181405313,0.7679827547648238,1.450730677792944
2020,7,100,DirectReturns,Train,2034,2.9149633202024594,0.02041050828202162,0.0385557492409359
2020,7,100,DirectReturns,Test,271,18.64305722928183,3.2373510641431733,6.115403600405496
2020,123,100,Base,Train,2034,2.891300079909564,0.019981446719876707,0.03774524566256324
2020,123,100,Base,Test,271,16.243884064940545,2.2955317603235303,4.336293134042024
2020,123,100,Stacking,Train,2034,2.731030228643948,0.017243934155705135,0.032574044313252386
2020,123,100,Stacking,Test,271,16.059216085552396,2.2565934911493772,4.262738172969491
2020,123,100,DirectReturns,Train,2034,2.6868744815279086,0.01736831199789873,0.03280899587979269
2020,123,100,DirectReturns,Test,271,15.368347539153731,2.298614279779569,4.342116058465813
2020,2024,100,Base,Train,2034,3.0649267961693476,0.021205022324835027,0.04005659791064291
2020,2024,100,Base,Test,271,16.18628323907775,2.378044638357439,4.492161169794253
2020,2024,100,Stacking,Train,2034,2.8883117083228367,0.018636782072738386,0.03520515443936311
2020,2024,100,Stacking,Test,271,15.868703142969512,2.226717527228471,4.206302039319633
2020,2024,100,DirectReturns,Train,2034,2.687362212166313,0.016055780145530673,0.030329603976788525
2020,2024,100,DirectReturns,Test,271,15.254999425054647,1.7960822029686176,3.3928256012498856
2020,2025,100,Base,Train,2034,2.7289012951316844,0.01833153905991497,0.03462854591509946
