Split,Feature,Epoch,Mean,Median,Min,Max,Negative_percent,Mean_std_response
Train,A_500,300,0.0020977042128361564,0.0018419095745742546,0.00041971113846681193,0.005894311979495679,0.0,0.6170267922366028
Train,A_500,400,0.002052853907055105,0.0018515989007308502,0.00033483282573537875,0.006827160487589613,0.0,0.6038343506437546
Train,Copper Futures Price,100,0.11239070804820292,0.08396680712048551,-0.3767184338712104,0.7048505390149027,21.730580137659782,0.04849385396181096
Train,Copper Futures Price,200,0.3566452808400362,0.3305790380603981,-0.41956077467200215,1.1994956123794738,2.6548672566371683,0.15388375485461067
Train,Copper Futures Price,300,0.39962033714574535,0.3496132116382119,-0.5565235735256093,1.9431474422121107,3.8348082595870205,0.17242644526631135
Train,Copper Futures Price,400,0.45017850933875864,0.3890900311042352,-0.7376095946521788,2.648452742671796,2.3107177974434614,0.19424106554481826
Train,Dollar Index,100,-0.033335994458431224,-0.02643962845138109,-0.12102558085986374,0.0065378363513241226,97.59095378564405,-0.2433280527349946
Train,Dollar Index,200,-0.03213011299332582,-0.021423554690210834,-0.160896620075417,0.04522321013021865,79.00688298918386,-0.23452601177295848
Train,Dollar Index,300,-0.029188797346996677,-0.016297359353181114,-0.17907758864560688,0.06221168304152368,76.64700098328416,-0.21305658749666456
Train,Dollar Index,400,-0.02675099814896275,-0.013581630740977681,-0.18977756174578458,0.09225977765876388,72.27138643067846,-0.19526246011413795
Train,Gold Futures Price,100,-0.00016504964453132177,-0.000524300676938753,-0.007497259584674786,0.00628126969298794,58.849557522123895,-0.015715274067757346
Train,Gold Futures Price,200,-0.0005071372827480388,-0.0008780620522658761,-0.010108545767458685,0.006634921460030153,60.96361848574238,-0.04828729810957414
Train,Gold Futures Price,300,-0.00043082464821554115,-0.0005903769056792277,-0.014122854930959619,0.007435092379014027,55.408062930186816,-0.04102115724682776
Train,Gold Futures Price,400,-0.00043198893430753944,-0.00039308578795162836,-0.018098136893806894,0.009075787280765558,53.14650934119961,-0.04113201525613149
Train,brent,100,-0.0015764616463657165,-0.001268370957260862,-0.014487567080353515,0.012751069466645183,68.04326450344149,-0.03990425915994055
Train,brent,200,-0.003028263925251625,-0.003393489989624931,-0.01758314816051463,0.015601754499134597,75.61455260570304,-0.07665307224981889
Train,brent,300,-0.002319009878877345,-0.0036060237184230327,-0.02515824225550683,0.02377085826166544,70.7472959685349,-0.058700046026819955
Train,brent,400,-0.002034215777297497,-0.0037416680390556264,-0.02429699116819063,0.031954567342757485,71.73058013765979,-0.051491182009821036
Train,cn_10y_rate,100,-0.24256283362148212,-0.19227578964514144,-1.2380294706012935,0.7144259382100056,70.50147492625368,-0.1074149790067933
